Name,Group,y,x
Raahe,17,64.68773434,24.4782731
Raasepori,1,59.97455292,23.43622808
Raisio,2,60.48607965,22.17106883
Rantasalmi,10,62.0634134,28.30422997
Ranua,19,65.92750562,26.5184167
Rauma,4,61.12873788,21.51112692
Rautalampi,11,62.62113714,26.835421
Rautavaara,11,63.4942103,28.29822308
Rautjärvi,9,61.4334718,29.36791525
Reisjärvi,17,63.6043868,24.93785105
Riihimäki,5,60.73673723,24.77532145
Ristijärvi,18,64.50509619,28.21176886
Rovaniemi,19,66.50279026,25.72847886
Ruokolahti,9,61.29226413,28.81579954
Ruovesi,6,61.98448822,24.06881184
Rusko,2,60.54243951,22.22251506
Rääkkylä,12,62.31267702,29.62605846
Saarijärvi,13,62.70552368,25.253902
Salla,19,66.83097128,28.6699331
Salo,2,60.3843736,23.12672713
Saltvik,21,60.27521484,20.05911525
Sastamala,6,61.34022515,22.90643753
Sauvo,2,60.34450672,22.69175034
Savitaipale,9,61.19874215,27.68601914
Savonlinna,10,61.86980266,28.87849829
Savukoski,19,67.29200482,28.16437082
Seinäjoki,14,62.7866629,22.8422796
Sievi,17,63.90628117,24.52115685
Siikainen,4,61.87766037,21.82314098
Siikajoki,17,64.66383877,25.1032933
Siikalatva,17,64.27203017,25.86377571
Siilinjärvi,11,63.07366471,27.65969853
Simo,19,65.66127005,25.06229717
Sipoo,1,60.37685697,25.26851611
Siuntio,1,60.13801755,24.22486335
Sodankylä,19,67.41492023,26.5906737
Soini,14,62.87297229,24.21017323
Somero,2,60.62829072,23.51769127
Sonkajärvi,11,63.66916303,27.52374291
Sotkamo,18,64.13202497,28.38768985
Sottunga,21,60.1299875,20.6674187
Sulkava,10,61.78972633,28.37804232
Sund,21,60.25020017,20.11629353
Suomussalmi,18,64.88382112,28.90479474
Suonenjoki,11,62.62303745,27.12757693
Sysmä,7,61.50377194,25.68370291
Säkylä,4,61.04836121,22.3367859
Taipalsaari,9,61.16133035,28.05757935
Taivalkoski,17,65.57625212,28.24059807
Taivassalo,2,60.56180763,21.61119766
Tammela,5,60.80813431,23.76027751
Tampere,6,61.49774257,23.76129008
Tervo,11,62.95214524,26.75393233
Tervola,19,66.08702402,24.81106439
Teuva,14,62.48476149,21.74719097
Tohmajärvi,12,62.22623542,30.33305726
Toholampi,16,63.77168786,24.25050415
Toivakka,13,62.09792979,26.08254474
Tornio,19,65.84973018,24.14409161
Turku,2,60.45169035,22.26686667
Tuusniemi,11,62.8124066,28.48825063
Tuusula,1,60.40236938,25.02514204
Tyrnävä,17,64.76336397,25.65263345
Ulvila,4,61.43265293,21.88803331
Urjala,6,61.08113172,23.54931127
Utajärvi,17,64.76169558,26.41690797
Utsjoki,19,69.90782852,27.02654128
Uurainen,13,62.50080639,25.43851887
Uusikaarlepyy,15,63.5231258,22.53008601
Uusikaupunki,2,60.80120774,21.40772712
Vaala,17,64.56094215,26.84067373
Vaasa,15,63.09258888,21.61587412
Valkeakoski,6,61.27005325,24.0292485
Vantaa,1,60.29813372,25.00664133
Varkaus,11,62.31395067,27.88858734
Vehmaa,2,60.68590275,21.71251213
Vesanto,11,62.93103044,26.41284911
Vesilahti,6,61.30558386,23.62763645
Veteli,16,63.47528731,23.78862512
Vieremä,11,63.74406951,27.00516045
Vihti,1,60.41679192,24.3198584
Viitasaari,13,63.08279201,25.85516791
Vimpeli,14,63.16192798,23.82060074
Virolahti,8,60.5820711,27.7088716
Virrat,6,62.23848456,23.77374769
Vårdö,21,60.24435102,20.37533809
Vöyri,15,63.132068,22.25245638
Ylitornio,19,66.32304498,23.67301232
Ylivieska,17,64.0722845,24.53369019
Ylöjärvi,6,61.55715602,23.59658012
Ypäjä,5,60.80522774,23.27243838
Ähtäri,14,62.55285929,24.07501843
Äänekoski,13,62.60330743,25.72483135
